descripcion_item,repeticiones,os_ids,keyword,candidatos_catalogo
cable kit,1,28790,cable,MP-042 - MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA (costo:9166.50) || SC-102 - CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR (costo:8730.00) || ME-043 - CABLE DOBLE8 (costo:2910.00) || 1213045 - Cable paciente Electrobisturí KAIROS MX-1 (costo:0.00) || 1213046 - Cable paciente ECG 10 deriv. FUKUDA Denshi FX-7102 (costo:0.00) || 1223006 - Cable de presión invasiva PI-BD (costo:0.00) || 1223007 - Cable de presión invasiva PI-EDWARD (costo:0.00) || 1223008 - Cable paciente ECG 10 deriv. compatible EDAN (costo:0.00)
cambio ceoltias,1,28617,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
cambio de ceolitas,1,28672,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
canister + válvulas,1,28705,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
canula,1,28918,canula,DIR-17 - Pasacánulas cristal x 2 PC-305 (costo:21825.00) || R25266 - Pasacánulas angular PC-307 (costo:14550.00)
capacitor,1,28704,capacitor,"1521001 - CAPACITORES 8uf (costo:0.00) || 1521002 - CAPACITORES 10uf (costo:0.00) || CP-001 - Capacitor electrolítico 220 UF 50V (costo:0.00) || CP-002 - Capacitor electrolítico 2,2 UF 50V (costo:0.00) || CP-003 - Capacitor electrolítico 47UF x 35V (costo:0.00) || CP-004 - Capacitor electrolítico 100UF x 35V (costo:0.00) || CP-005 - CAPACITOR CERAMICO 0,1uF X 50V (costo:0.00) || CP-006 - Capacitor de arranque 10uF X 450 V (costo:0.00)"
ce0olitas,1,28673,"",""
costo,1,28178,"",""
descuento,1,28615,"",""
pack baterías,1,28612,bateria,"1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (costo:4980930.60) || 1509002 - Batería de 8 celdas Inogen One G4 BA-408 (costo:2109750.00) || DIR-02C - Filtro de aire (Pack x 4)PC-305 (costo:436500.00) || ME-081 - BATERIA 6V 2,9 A/H (costo:46560.00) || ME-041 - BATERÍA GEL 6V 4AH (costo:43650.00) || PS-039 - SOPORTE INTERNO BATERIA/MOTOR (costo:2910.00) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (costo:0.00) || 1204004 - Jarra para aspirador a batería KONSUNG (costo:0.00)"
pila,1,28757,bateria,"1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (costo:4980930.60) || 1509002 - Batería de 8 celdas Inogen One G4 BA-408 (costo:2109750.00) || DIR-02C - Filtro de aire (Pack x 4)PC-305 (costo:436500.00) || ME-081 - BATERIA 6V 2,9 A/H (costo:46560.00) || ME-041 - BATERÍA GEL 6V 4AH (costo:43650.00) || PS-039 - SOPORTE INTERNO BATERIA/MOTOR (costo:2910.00) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (costo:0.00) || 1204004 - Jarra para aspirador a batería KONSUNG (costo:0.00)"
repuestos,1,26362,"",""
revisión,1,28178,"",""
