id,ingreso_id,de_estado,a_estado,usuario_id,ts,comentario
"57","47","derivado","reparado","2","2025-09-05 10:13:09.095565-03","Cambio de estado"
"58","47","reparado","aprobado","2","2025-09-05 10:22:26.210655-03","Cambio de estado"
"59","47","aprobado","listo_retiro","2","2025-09-05 10:25:41.566852-03","Cambio de estado"
"60","53","listo_retiro","entregado","7","2025-09-05 10:37:38.452443-03","Cambio de estado"
"61","54",,"ingresado","2","2025-09-07 11:31:13.761987-03","Creación de ingreso"
"62","55",,"ingresado","2","2025-09-08 10:57:11.114624-03","Creación de ingreso"
"63","50","ingresado","reparado","2","2025-09-08 14:25:01.776139-03","Cambio de estado"
"64","55","ingresado","asignado","2","2025-09-08 17:27:25.758898-03","Cambio de estado"
"65","55","asignado","diagnosticado","2","2025-09-08 17:27:25.758898-03","Cambio de estado"
"66","55","diagnosticado","presupuestado","2","2025-09-09 09:16:38.741545-03","Cambio de estado"
"67","55","presupuestado","aprobado","2","2025-09-09 09:27:17.625548-03","Cambio de estado"
"68","55","aprobado","reparado","2","2025-09-09 11:09:38.362211-03","Cambio de estado"
"69","55","reparado","listo_retiro","2","2025-09-09 11:10:16.568019-03","Cambio de estado"
"70","55","listo_retiro","entregado","2","2025-09-09 11:26:53.773911-03","Cambio de estado"
"71","56",,"ingresado","2","2025-09-09 12:33:56.239596-03","Creación de ingreso"
"72","51","diagnosticado","reparado","2","2025-09-09 13:43:15.440091-03","Cambio de estado"
"73","54","ingresado","asignado","2","2025-09-09 16:23:40.674906-03","Cambio de estado"
"74","54","asignado","diagnosticado","2","2025-09-09 16:23:40.674906-03","Cambio de estado"
"75","57",,"ingresado","2","2025-09-10 09:01:21.217417-03","Creación de ingreso"
"76","57","ingresado","asignado","2","2025-09-10 09:03:50.318154-03","Cambio de estado"
"77","57","asignado","diagnosticado","2","2025-09-10 09:03:50.318154-03","Cambio de estado"
"78","58",,"ingresado","2","2025-09-10 12:12:50.934918-03","Creación de ingreso"
"79","58","ingresado","presupuestado","2","2025-09-10 15:03:28.635332-03","Cambio de estado"
"80","58","presupuestado","reparar","2","2025-09-10 15:03:49.756993-03","Cambio de estado"
"81","58","reparar","presupuestado","2","2025-09-10 15:07:50.151363-03","Cambio de estado"
"82","58","presupuestado","reparar","2","2025-09-10 15:07:53.355414-03","Cambio de estado"
"83","58","reparar","presupuestado","2","2025-09-10 15:08:16.900849-03","Cambio de estado"
"84","58","presupuestado","reparar","2","2025-09-10 15:08:19.285741-03","Cambio de estado"
"85","58","reparar","presupuestado","2","2025-09-10 15:11:19.89469-03","Cambio de estado"
"86","58","presupuestado","reparar","2","2025-09-10 15:11:22.378556-03","Cambio de estado"
"87","59",,"ingresado","2","2025-09-10 15:47:22.256161-03","Creación de ingreso"
"88","59","ingresado","asignado","2","2025-09-10 15:48:50.840167-03","Cambio de estado"
"89","59","asignado","diagnosticado","2","2025-09-10 15:48:50.840167-03","Cambio de estado"
"90","54","diagnosticado","presupuestado","2","2025-09-10 15:49:48.800492-03","Cambio de estado"
"91","54","presupuestado","reparar","2","2025-09-10 15:52:33.129414-03","Cambio de estado"
"92","54","reparar","reparado","2","2025-09-10 15:53:13.147638-03","Cambio de estado"
"93","54","reparado","listo_retiro","2","2025-09-10 15:53:57.282884-03","Cambio de estado"
"94","54","listo_retiro","entregado","2","2025-09-10 15:54:27.426281-03","Cambio de estado"
"95","60",,"ingresado","2","2025-09-10 16:52:48.456537-03","Creación de ingreso"
"96","60","ingresado","diagnosticado","2","2025-09-10 16:58:06.372886-03","Cambio de estado"
"97","60","diagnosticado","reparar","2","2025-09-10 17:00:48.560335-03","Cambio de estado"
"98","60","reparar","reparado","13","2025-09-10 17:01:09.141366-03","Cambio de estado"
"99","60","reparado","liberado","2","2025-09-10 17:03:45.001318-03","Cambio de estado"
"100","60","liberado","entregado","2","2025-09-10 17:04:37.868015-03","Cambio de estado"
"101","60","entregado","alquilado","2","2025-09-10 17:05:20.737077-03","Cambio de estado"
"102","61",,"ingresado","2","2025-09-10 17:35:46.561014-03","Creación de ingreso"
"103","61","ingresado","diagnosticado","10","2025-09-10 17:38:40.572231-03","Cambio de estado"
"104","61","diagnosticado","reparado","10","2025-09-10 17:39:35.495842-03","Cambio de estado"
"105","57","diagnosticado","reparar","2","2025-09-11 14:36:09.702889-03","Cambio de estado"
