"Marca","Modelo","Cnt"
"DEVILBISS","INTELLIPAP","1"
"DEVILBISS","SUCCION UNIT","12"
"DEVILBISS","SUCION UNIT","1"
"DEVILBISS","SUCTION","1"
"DEVILBISS","SUNRISE","2"
"devilbiss","VACU AIDE","1"
"devilbiss","vacuaide","1"
"devilbiss","vacu-aide","10"
"devildiss","12 V","1"
"devilvis","","1"
"devilvis","sunrise","1"
"DEVILVISS","515","1"
"devillbis","succion unit","1"
"DRAGER","Drager","1"
"DRAGUER","","2"
"DRAGUER","OXYTREND","2"
"DULOVAK","","1"
"DULOVAK","DK 720","1"
"DULOVAK","DK720","1"
"E Y M","C-12B","1"
"E&M","C-12","1"
"E&M","C-12B","5"
"EAGLE","3000","1"
"easote","P8000","1"
"EASY GO","","3"
"EASY GO","EASYGO VAC","4"
"EASY GO","GO VAC","1"
"easy go","pm 65","2"
"easy go","pm65","2"
"easy go","pm65hg","6"
"easy go","vac","12"
"EASY GO","VACUMAX","5"
"EASY GO","VACUOM","1"
"EASY GO VAC","","2"
"EASY GO VAC","PM65HG","5"
"edam","","1"
"edam","se1","1"
"EDAN","","22"
"EDAN","ADULTO","2"
"edan","m3","7"
"EDAN","M300","1"
"edan","M3A","34"
"EDAN","M3-A","4"
"edan","m8","1"
"EDAN","SE 1","1"
"Edan","se1","2"
"EDAN","SE-1","2"
"EI","k 130","1"
"ei","k130","3"
"EI","K-130","6"
"ei","k135","5"
"EI","K-135","12"
"ei","k90","1"
"EI","k-90","2"
"ELECTRO MEDICINA ARGENTINA","RESPIRE","1"
"electromedic","jazz","1"
"ELECTROMEDIK","","1"
"em","respire","1"
"EMA","RESPIRE","1"
"EMERSON","CA-3000","1"
"ENERGY POWER","BMC","1"
"ENERGY SABER","","9"
"eneRGY SABER","12 V","1"
"ENERGY SABER","12 V 3,3A","1"
"ENERGY SABER","3,3A","1"
"ENERGY SABER","FSE40H","1"
"ENERGY SABER","FSE40H 12","1"
"ENERGY SABER","P/ASPIRADOR","3"
"ENERGY SAVER","","1"
"ENERGY SAVER","3,3A","2"
"ENERGY SAVER","movivac","1"
"ENMIND","EN-V7","1"
"ESAOTE","","1"
"EVERFLO","","12"
"EVERFLO","5 LTS","1"
"EVERFLO","RESPIRONICS","3"
"EVERFLOW","","2"
"F & P","","1"
"F & P","HC 150","1"
"F & P","MR 700","2"
"F&P","","4"
"f&p","150","1"
"f&p","410","2"
"F&P","420","1"
"F&P","HC - 150","1"
"F&P","HC 100","1"
"f&p","hc 150","3"
"f&p","hc 221","1"
"F&P","HC100","2"
"F&p","HC150","2"
"F&P","HC-150","2"
"F&P","HR40","1"
"f&p","m150","1"
"f&p","mr 410","7"
"f&p","mr -410","1"
"F&P","MR428","1"
"F&P","MR-810","1"
"FEAS ELECTRONICA","3850B BIFASICO","1"
"FICHER & PAYKEL","","4"
"FICHER & PAYKEL","150","3"
"FICHER & PAYKEL","HC 100","4"
"FICHER & PAYKEL","HC 150","12"
"FICHER & PAYKEL","HC150","6"
"FICHER & PAYKEL","HC-150","7"
"FICHER & PAYKEL","mr 410","7"
"FICHER & PAYKEL","MR 428","1"
"FICHER & PAYKEL","MR 810","2"
"FINGER","DS-100","1"
"FIORINO","","9"
"FIORINO","7 ED","53"
"FIORINO","7 E-D","1"
"fiorino","7ed","13"
"FIORINO","7-ED","6"
"fiorino","7e-d","10"
"FIORINO","CICLADO","3"
"FIORINO","FIORINO","1"
"FIORINO","SUCION UNIT","2"
"FISHER & PAYKAL","HC 150","1"
"FISHER & PAYKEL","","2"
"fisher & paykel","428","1"
"fisher & paykel","hc 150","2"
"FISHER & PAYKEL","MR 410","1"
"FISHER & PIKEL","MR 410","1"
"FISHER Y PAYKEL","","1"
"FUKUDA","","1"
"FUKUDA","CARDIMAX","1"
"G3G","MEDITECH","1"
"G3H","","1"
"GENERAL ELECTRIC","ISLEEP","2"
"GII","Y25T","1"
"GOOD KINGHT","420G","1"
"GOODKNIGHT","4206","1"
"HAND","","1"
"HARMONY","","3"
"HARMONY","HARMONY","1"
"HARMONY","RESPIRONICS","2"
"HC-150","","1"
"HEAHLDYNE","QUANTUM","2"
"healtt dyne","quantum","1"
"HEWLETT PACKARD","43100","1"
"HEWLETT PACKARD","CODE MASTER","1"
"HOFFRCHTER","CARAT2","1"
"HOFFRICHTER","CARAT 2","4"
"HOFFRICHTER","point","1"
"hoffrichter","vector","1"
"HOFFRICHTER","VECTOR 20","2"
"HOFFRICHTER","VECTOR ST 20","1"
"HOFRICHTER","CARAT II","1"
"HP","","1"
"hp","code master","4"
"HP","viridia","5"
"HP- PHILIPS","CODE MASTER","2"
"HYPNUS","","4"
"innmed","iko 3","1"
"INNOMED","","6"
"innomed","10 derivaciones","1"
"innomed","heart mirror 37 iko","1"
"innomed","iko","1"
"innomed","iko 3","11"
"INNOMED","IKO III","1"
"innomed","iko3","4"
"INOGEN","AT HOME","3"
"INOGEN","G2","1"
"inogen","g3","4"
"INOGEN","G4","4"
"INOGEN","G5","1"
"inoGEN at home","at home","1"
"INOGEN G3","G3","1"
"INOGEN ONE","6","5"
"INOGEN ONE","8 CELDAS","1"
"INOGEN ONE","AT HOME","6"
"INOGEN ONE","AT HOME GS-100","1"
"INOGEN ONE","G3","94"
"INOGEN ONE","g4","10"
"INOGEN ONE","G5","1"
"INOGEN ONE","ONE G4","1"
"INTERMED","S/MODELO","1"
"INVACARE","5","4"
"INVACARE","HOMFICC2","1"
"INVACARE","INVACARE 5","5"
"INVACARE","LT","1"
"INVACARE","PERFECTO 2","1"
"Invacare","perfecto 5","1"
"INVACARE","PLATINIUM 10","1"
"INVACARE","PLATINIUM 5","2"
"INVACARE","s","1"
"ISLEEP","10","1"
"JAY","5Q","1"
"KAIROS","","2"
"KAIROS","MX 1","1"
"KAIROS","MX1","2"
"kangaro","324","1"
"KANGAROO","","1"
"KANGAROO"," 324","1"
"kangaroo","224","20"
"KANGAROO","324","567"
"KANGAROO","924","9"
"KANGAROO","EPUMP","10"
"KANGAROO","S24","1"
"kangroo","324","1"
"kendall","respons","1"
"kendall","response","1"
"KINGON","P2","1"
"KONSUNG","","14"
"KONSUNG","9 EB","1"
"KONSUNG","9A-26B","2"
"KONSUNG","9EB","30"
"KONSUNG","9E-B","21"
"KONSUNG","AURORA 8","3"
"KONSUNG","AURORA12","2"
"KONSUNG","BROCHE ADULTO","4"
"KONSUNG","KSOC","6"
"KONSUNG","KSOC 5","1"
"KONSUNG","K-SOC 5","4"
"KONSUNG","KSOC5","34"
"KONSUNG","KSOC-5","52"
"Konsung","MONITOR","1"
"laerdal","nn","1"
"led","","1"
"LEEX","1M8","2"
"leistung","luft 1","2"
"leistung","luft 2","8"
"leistung","luft2","1"
"LESITUNG","","1"
"LICFAMA","AUTOVAC-1","1"
"LIFE CARE","PLV - 100","11"
"life care","plv 100","6"
"life care","plv -100","1"
"life care","plv100","2"
"life care","plv-100","5"
"life care","plv102","1"
"LIFE PORT","PIGGYBACK","1"
"lifecare","plv100","1"
"lifecare","plv-100","11"
"LNGFIAN","JAY - 5","1"
"LONG FIAN","","11"
"long fian"," jay 5","1"
"LONG FIAN","jay - 10","54"
"LONG FIAN","JAY - 120","2"
"LONG FIAN","JAY - 5","941"
"LONG FIAN","JAY - 5 q","1"
"LONG FIAN","JAY - 5Q","66"
"LONG FIAN","JAY 10","24"
"LONG FIAN","JAY- 10","1"
"LONG FIAN","jay -10","4"
"LONG FIAN","JAY 10D","3"
"long fian","jay 5","35"
"LONG FIAN","jay -5","2"
"LONG FIAN","jay 5 q","3"
"LONG FIAN","JAY 5Q","293"
"LONG FIAN","jay -5q","1"
"LONG FIAN","JAY10","6"
"LONG FIAN","JAY-10","4"
"LONG FIAN","JAY10D","3"
"LONG FIAN","JAY-10D","8"
"LONG FIAN","JAY-120","1"
"long fian","jay5","17"
"LONG FIAN","JAY-5","32"
"LONG FIAN","JAY5Q","6"
"LONG FIAN","JAY-5Q","27"
"LONG FIAN","JAY5-Q","1"
"LONG FIAN","jsb-1200","1"
"LONGFIAN","JAY - 10","3"
"longfian","JAY - 5","3"
"LONGFIAN","JAY - 5Q","1"
"LONGFIAN","JAY 10","1"
"LONGFIAN","JAY -10","1"
"LONGFIAN","JAY 5","23"
"LONGFIAN","JAY- 5","1"
"longfian","jay -5","1"
"longfian","jay 5 Q","5"
"LONGFIAN","JAY 5Q","10"
"LONGFIAN","JAY-10D","1"
"lonGfian","jay5","10"
"LONGFIAN","JAY-5","9"
"longfian","jay5 q","2"
"LONGFIAN","JAY5Q","1"
"LONGFIAN","JAY-5Q","3"
"LONGFIAN","JAY5-Q","1"
"LOWENSTEIN","","1"
"LOWENSTEIN","PRISMA VENT 40","2"
"LOWENSTEIN","PRISMA VENT40","1"
"mabel","c500","1"
"MAGNAMED","","2"
"MAGNAMED","FLEXIMAG","1"
"MAGNAMED","FLEXIMAG MAX","1"
"MAGNAMED","FLEXIMAG MAX 300","2"
"MAGNAMED","OXY MAG","1"
"MAGNAMED","OXYMAG","5"
"MARBEL","","33"
"marbel","a500","4"
"marbel","c 500","3"
"MARBEL","C 500 A","5"
"marbel","c -500 a","1"
"MARBEL","c 500a","1"
"marbel","c 550a","1"
"MARBEL","C300A","1"
"marbel","c500","14"
"MARBEL","C-500","22"
"marbel","c500 a","2"
"MARBEL","C-500 A","6"
"MARBEL","C500A","12"
"MARBEL","C-500A","7"
"MARBEL","C-500-A","217"
"MARBEL","c550","1"
"marquette","eagle 3000","1"
"MASIMO","","2"
"MASIMO","RAD 8","1"
"MASIMO","RAD 87","1"
"masimo","rad 9","2"
"MASIMO","RAD-87","4"
"MASIMO","RAD9","1"
"masimo","radical","21"
"masimo","radical 7","3"
"MASIMO","RED-87","1"
"MASSIMO","","9"
"massimo","rad 9","5"
"massimo","rad7","1"
"massimo","rad9","1"
"massimo","radical","8"
"massimo","radical 9","1"
"massimo","y","1"
"MAXIMO","RADICAL 7","1"
"MAXTEC","MAX 02 +","1"
"MEDD","OXI - 3","1"
"MEDICAL HEALTHY","G3G","1"
"MEDICAL HEALTHY","OXI - 3","1"
"MEDITECH","","13"
"MEDITECH","-","1"
"MEDITECH","3G","1"
"MEDITECH","3g3","1"
"MEDITECH","ADULTO","4"
"meditech","db9","2"
"MEDITECH","G3","1"
"MEDITECH","G36","1"
"MEDITECH","G3C","3"
"meditech","g3d","23"
"meditech","g3g","219"
"meditech","g3g3","1"
"MEDITECH","G3H","2"
"MEDITECH","G3L","1"
"MEDITECH","GRD","2"
"MEDIX","","4"
"MEDIX","307","1"
"MEDIX","401","1"
"medix","aitec","3"
"medix","aitecs","3"
"MEDIX","AITECS SP-12S","9"
"medix","aitek","1"
"MEDIX","LA 101","1"
"MEDIX","LED","4"
"medix","medi led","2"
"MEDIX","MEDILED","9"
"MEDIX","NATAL CARE","1"
"MEDIX","NATALCARE LX","1"
"MEDIX","OXI - 3","33"
"MEDIX","oxi - 3 plus","2"
"medix","oxi 3","2"
"medix","oxi -3","1"
"MEDIX","OXI 3 PLUS","1"
"MEDIX","OXI-3","28"
"MEDIX","PC - 305","1"
"medix","pc 305","12"
"MEDIX","PC -305","1"
"MEDIX","PC 307","12"
"medix","pc305","2"
"MEDIX","PC-305","19"
"medix","pc307","2"
"MEDIX","PC-307","13"
"medix","razel","5"
"MEDIX","TUBO","1"
"MEDIX","TUBOS","3"
"MEDIX AITECS","PRO125","1"
"MEK","MP110","1"
"MERCURY","","1"
"MERCURY","5L","1"
"MG 2751","RESPIRONICS","1"
"MILLENIUM","","1"
"MINDRAY","C1A","1"
"mindray","us-800","2"
"MOCIVAC","A 600","1"
"monitor","adulto","7"
"movi vac","a 500","1"
"movi vac","a 550","2"
"movi vac","A 600","1"
"movi vac","a- 600","1"
"movi vac","a-550","8"
"MOVIVAC"," A - 600","1"
"MOVIVAC"," A-550","1"
"MOVIVAC","550","17"
"MOVIVAC","A - 550","1"
"MOVIVAC","A - 600","1"
"MOVIVAC","A 550","13"
"movivac","a 600","9"
"MOVIVAC","A- 600","1"
"MOVIVAC","A500","2"
"movivac","a-500","2"
"MOVIVAC","A550","46"
"MOVIVAC","A-550","32"
"movivac","a600","17"
"MOVIVAC","A-600","35"
"movivac","tronic","7"
"MOVI-VAC","","14"
"MOVI-VAC","220V","2"
"MOVI-VAC","550","2"
"MOVI-VAC","6000","1"
"MOVI-VAC","A 220","14"
"MOVI-VAC","A 220V","1"
"MOVI-VAC","A 550","806"
"MOVI-VAC","a- 550","1"
"MOVI-VAC","A 600","47"
"MOVI-VAC","A1-0122","1"
"MOVI-VAC","A-220","7"
"MOVI-VAC","A-360","1"
"MOVI-VAC","A-500","1"
"MOVI-VAC","a550","34"
"MOVI-VAC","A-550","88"
"MOVI-VAC","A-55O","1"
"MOVI-VAC","A600","1"
"MOVI-VAC","A-600","43"
"MOVI-VAC","B4-0705","1"
"MOVI-VAC","C-500-A","1"
"MOVI-VAC","C-550","1"
"MOVI-VAC","MOVIVAC","1"
"mrbel","c500","1"
"MRL","PIC","2"
"MVP-10","","1"
"NATAL CARE","PC-307","1"
"NATALCARE","ST-LX PC-307","2"
"nelcor","395","1"
"NELCOR","N-550","1"
"NELCOR","NPB-290","1"
"NELLCOR","","21"
"nellcor","190","1"
"nellcor","290","2"
"NELLCOR","295","1"
"NELLCOR","395","9"
"nellcor","550","5"
"nellcor","560","35"
"nellcor","595","18"
"nellcor","600","3"
"nellcor","840","2"
"nellcor","adulto","4"
"NELLCOR","BEDISDE","1"
"NELLCOR","BEDSIDE","38"
"NELLCOR","BEDSIDE SPO2","1"
"NELLCOR","KINGSTAR 335","1"
"NELLCOR","LIBRA","5"
"NELLCOR","MASIMO","1"
"NELLCOR","N - 600 X","1"
"nellcor","n 395","2"
"nellcor","n 560","13"
"NELLCOR","N -560","1"
"nellcor","n 595","6"
"NELLCOR","N -595","1"
"NELLCOR","N 600","3"
"NELLCOR","N 600 X","2"
"nellcor","n- 600 x","1"
"nellcor","n 600x","3"
"NELLCOR","N-180","1"
"NELLCOR","n190","1"
"nellcor","n-195","3"
"NELLCOR","N-20E","1"
"NELLCOR","N-290","4"
"nellcor","n295","1"
"NELLCOR","N395","6"
"NELLCOR","N-395","75"
"NELLCOR","N550","2"
"nellcor","n-550","19"
"NELLCOR","N-56","1"
"nellcor","n560","37"
"NELLCOR","N-560","229"
"nellcor","n595","18"
"nellcor","n-595","120"
"nellcor","n600","9"
"NELLCOR","N-600","29"
"NELLCOR","N-600 X","13"
"NELLCOR","N600X","6"
"NELLCOR","N-600X","6"
"nellcor","nbp 295","1"
"NELLCOR","nbp-295","1"
"NELLCOR","NELLCOR","1"
"nellcor","npb 190","1"
"NELLCOR","NPB 290","5"
"NELLCOR","NPB-195","1"
"NELLCOR","NPB290","2"
"NELLCOR","NPB-290","4"
"NELLCOR","NPB-4000","2"
"NELLCOR","OXI-MAX PINZA ADULTO","1"
"NELLCOR","OXYMAX Y","1"
"NELLCOR","PB 295","1"
"NELLCOR","PINZA","1"
"NELLCOR","PINZA ADULTO","1"
"nellcor","y","37"
"nellcor 560","560","1"
"NELLCOR CON CURVA","395","1"
"nellcor p&b","840","1"
"NELLOR","N-595","1"
"NEONATAL","PC-305","1"
"neumovent","","3"
"NEUMOVENT","ADVANCE","1"
"NEUMOVENT","GRAF","2"
"neumovent","grafh","3"
"NEUMOVENT","GRAHP","1"
"neumovent","grahpnet","12"
"NEUMOVENT","GRAPH","6"
"neumovent","graph net","2"
"neumovent","graphnet","1"
"NEUMOVENT","TS","8"
"NEUMOVENT","TS TECNO","1"
"NEWPORT","150","1"
"newport","360","7"
"newport","e 150","1"
"newport","e 360","6"
"newport","e360","6"
"NEWPORT","E-360","11"
"newport","ht 50","2"
"newport","ht50","2"
"NEWPORT","HT-50","10"
"newport","ht70","1"
"NEWPORT","HT-70","5"
"NIDEK","MARK 5","3"
"NIDEK","NUVO","1"
"nidek","silencio","2"
"NIDEK","SILENZIO","1"
"NIDEK","SILENZIO PLUZ","1"
"nllcor","adulto","1"
"NOVAMETRIX","","4"
"novametrix","515","4"
"NOVAMETRIX","515B","2"
"NOVAMETRIX","COSMO","1"
"NOVAMETRIX","M 10","1"
"NOVAMETRIX","NEO","1"
"NOVAMETRIX","NICO","5"
"novametrix","nico 2","1"
"novametrix","nico2","1"
"NOVAMETRIX","OXIPLETH","2"
"NOVAMETRIX","OXYPLEH","1"
"novaMETRIX","OXYPLETH","4"
"NOVAMETRIX","Y","2"
"OHMEDA","4700","1"
"ORION","","13"
"ORION","VIASYS","1"
"ORION","VYASIS","8"
"ORYON","VYASIS","1"
"OXI-3","","1"
"OXIMAX","Y","1"
"P & B","425 ST","1"
"p bennett","330","1"
"P&B","330","3"
"P&B","420","5"
"P&B","420 E","3"
"P&B","420 G","1"
"P&B","420G","2"
"p&b","425","1"
"P&B","425 ST","1"
"P&B","KNIGHT 335","1"
"p.b","420e","1"
"PATROL","","2"
"PATROL","334","1"
"PATROL","FLEXFLOW","1"
"patrol","flexi flo","1"
"philips","24c","1"
"PHILIPS","C-SERIES","1"
"philips","m3","10"
"philips","m4","3"
"PHILIPS","PRO","1"
"PHILIPS","RESPIRONICS","2"
"PHILIPS","SYSTEM ONE","1"
"philips","v24","1"
"PHILLIPS","","6"
"PHILLIPS","AVAPS","2"
"PHILLIPS","M3929","1"
"PHILLIPS","REMSTAR","5"
"PHILLIPS","RESPIRONICS","4"
"PHILLIPS","SERIE C","1"
"PHILLIPS","SIMPLYGO","1"
"PHILLIPS","SYSTEM ONE","10"
"PHISYO CONTROL","LIFEPACK 9","1"
"POINT","HIOFFRICHTER","1"
"POINT","HOFFRICHTER","1"
"POLYWATCH","KIT RESPIRADOR","1"
"PORTATIL","BMC","2"
"PRECISION MEDICAL","EASY GO VAC","1"
"pulmonetic","itu950","1"
"PURITA BENNETT","","1"
"PURITA BENNETT","330","5"
"PURITA BENNETT","420","8"
"PURITA BENNETT","420 E","3"
"PURITA BENNETT","420 G","1"
"PURITA BENNETT","4200","1"
"PURITA BENNETT","420e","4"
"PURITA BENNETT","425","9"
"PURITA BENNETT","425 ST","1"
"PURITA BENNETT","560","3"
"PURITA BENNETT","840","1"
"PURITA BENNETT","NPB-290","1"
"PURITA BENNETT","ORION","1"
"PURITA BENNETT","PB 560","23"
"puritan bennet","330","1"
"PURITAN BENNET","420","2"
"PURITAN BENNET","425","1"
"PURITAN BENNET","560","6"
"PURITAN BENNET","GOOD NIGHT 425","1"
"puritan bennett","330","4"
"puritan bennett","420","7"
"PURITAN BENNETT","420 G","2"
"puritan bennett","420g","1"
"puritan bennett","425","8"
"puritan bennett","425 st","1"
"puritan bennett","425st","1"
"PURITAN BENNETT","560","1"
"PURITAN BENNETT","GOODKNIGHT 420 S","1"
"PURITAN BENNETT","PB 560","19"
"PURITAN&BENNET","420","1"
"PURITTAN BENNET","330","1"
"QUAMTUM","HEALTHDYNE","1"
"RAZEL","","2"
"razel"," a 99","1"
"REMEDY","AIR SEP","1"
"REMEDY","AIRSEP","1"
"remedy","renew","2"
"REMEDY","RESPIRE","1"
"REMEDY","rewew","1"
"REMEDY RENEW","","3"
"REMSTAR","","4"
"REMSTAR","171P","1"
"REMSTAR","PHILIPS","1"
"REMSTAR","RESPIRONIC","1"
"REMSTAR","RESPIRONICS","2"
"REMSTAR","RESPIRONICS SYSTEM ONE","1"
"REMSTAR","SERIE M","6"
"remstar","tango","2"
"remstart","serie m","2"
"repironic","serie c","1"
"RES MED","","5"
"RES MED","adapt","1"
"RES MED","AIR START 10","1"
"RES MED","AIRSENSE 10","1"
"RES MED","ASTRAL 150","4"
"RES MED","BMC","1"
"RES MED","MALIBU","2"
"RES MED","RESMED","1"
"RES MED","RESPIRONICS","1"
"RES MED","S7","4"
"RES MED","s9","10"
"RES MED","S-9","5"
"RES MED","SLEEP","1"
"RES MED","SP","1"
"RES MED","SPIRIT","1"
"RES MED","TANGO","41"
"RES MED","TANGO 5","1"
"RES MED","VPAP 2","1"
"RES MED","VPAP 3","1"
"RES MED","VPAP3","1"
"resíronic","serie m","1"
"RESMART","","2"
"resmart","171","2"
"RESMART","25 T","1"
"RESMART","25T","2"
"resmart","bmc","2"
"RESMART","BMC G1","1"
"RESMART","G1","1"
"RESMART","G2","6"
"RESMART","GII","3"
