os_id,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,numero_interno,numero_serie,variante,descripcion_problema,trabajos_realizados
28077,2025-07-01 00:00:00-03,2025-07-01 00:00:00-03,MGBIO,Longfian,GII T-25T,,MG 7104,YSA21903037,,,"Piezas reemplazadas: 
"
28079,2025-07-01 00:00:00-03,2025-11-04 10:36:00-03,AYRES SALUD S.R.L.,Silfab,N-33A,ASPIRADOR,,A2266,,"RUIDO DE ROTOR, BAJA ASPIRACION
AJUSTE RULEMAN POSTERIOR LIMPIEZA DE VALVULA Y CABEZAL.","Piezas reemplazadas: 
"
28123,2025-07-01 00:00:00-03,,AYRES SALUD S.R.L.,BMC,CPAP G2,CPAP,MG 7356,MG 7356,,arreglo de reslex - control de funcionamiento ok,"Piezas reemplazadas: 
"
28124,2025-07-01 00:00:00-03,,MGBIO,Silfab,N-33A,ASPIRADOR,MG 1006,06-0888-09-A,,control de funcionamiento ok,"Piezas reemplazadas: 
"
28062,2025-07-03 00:00:00-03,2025-08-07 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 6522,MZJ5S121244,,"cambio de ceolita - ajuste en supencion de compresor

(lo hizo juan)","Piezas reemplazadas: 
"
28063,2025-07-03 00:00:00-03,2025-07-21 00:00:00-03,NOVAMED S.A.,Longfian,JAY-10,CONCENTRADOR DE OXÍGENO,,MZJ10S72906,,cambio de base plastica - cambio de valvula,"Piezas reemplazadas: 
"
28065,2025-07-03 00:00:00-03,,MGBIO,BMC,CPAP G1,CPAP,MG 4370,E2118C01070,RESMART,error 114 al actualizar equipo para arreglar reslex (en espera de respuesta de bmc para solucionar el error),"Piezas reemplazadas: 
"
28066,2025-07-03 00:00:00-03,2025-07-21 00:00:00-03,MGBIO,BMC,RESmart,CPAP,MG 3162,P13351866942E,,control de funcionamiento ok - se da de baja por equipo obsoleto,"Piezas reemplazadas: 
"
28067,2025-07-03 00:00:00-03,2025-07-14 00:00:00-03,SIED,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,MZJ5S59839,,cambio de pila interna - ceolita AGOTADA - cambio de filtros - control de funcionamiento ok,"Piezas reemplazadas: 
"
28068,2025-07-03 00:00:00-03,2025-07-14 00:00:00-03,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,CBB0117160464,5L,"reemplazo kit regulador de oxigeno, filtro externo.","Piezas reemplazadas: 
"
28069,2025-07-03 00:00:00-03,2025-07-14 00:00:00-03,SIED,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,,A2270,,colocacion de tapa - ceolita AGOTADA - control de funcionamiento ok,"Piezas reemplazadas: 
"
28070,2025-07-03 00:00:00-03,2025-08-14 00:00:00-03,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,M8780,5L,CAMBIO DE CEOLITA - REEMPLAZO KIT REGULADOR - CAMBIO DE CABLE 220 - CONTROL DE FUNCIONAMIENTO OK,"Piezas reemplazadas: 
"
28072,2025-07-03 00:00:00-03,2025-07-22 00:00:00-03,NOVAMED S.A.,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,MZJ5S117798,,cambio de filtros - control de funcionamiento ok,"Piezas reemplazadas: 
"
28073,2025-07-03 00:00:00-03,2025-07-22 00:00:00-03,oxigenoterapia lomas s.a,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,MZJ5S416954,,control de funcionamiento optimo,"Piezas reemplazadas: 
"
28074,2025-07-03 00:00:00-03,2025-07-22 00:00:00-03,oxigenoterapia lomas s.a,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,A2268,,cambio de conpresor  - cambio de ceolita - cambio de filtros  - control y limpieza del equipo,"Piezas reemplazadas: COMPRESOR 220V JAY-5Q - CANISTERS DE CEOLITAS
"
28075,2025-07-03 00:00:00-03,,oxigenoterapia lomas s.a,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,,MZJ5S121242,,,
28144,2025-07-03 00:00:00-03,2025-07-11 00:00:00-03,MGBIO,Longfian,GII T-25T,,MG 7104,YSA21903037,,cambio de base plastica - control de funcionamiento ok,"Piezas reemplazadas: 
"
28128,2025-07-04 00:00:00-03,2025-08-08 00:00:00-03,MGBIO,Nellcor,Bedside,OXÍMETRO DE PULSO,MG 7157,MBB2203484,,control de funcionamiento ok,"Piezas reemplazadas: 
"
28191,2025-07-04 00:00:00-03,,GRIFFO DAMIAN,Konsung,Aurora,MONITOR MULTIPARAMÉTRICO,MG 7396,MG 7396,12,equipo sin batería,""
28136,2025-07-07 00:00:00-03,2025-07-14 00:00:00-03,SIED,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,,A2276,,cambio de base plastica - cambio de labios - cambio de filtros - cantrol de funcionamiento ok,"Piezas reemplazadas: 
"
28138,2025-07-07 00:00:00-03,2025-08-05 00:00:00-03,MGBIO,BMC,BPAP G2,BPAP,MG 6733,T2A20501191,B-25ST,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28139,2025-07-07 00:00:00-03,2025-07-31 00:00:00-03,MECATRONIX,Nellcor,Bedside,OXÍMETRO DE PULSO,,MBB1512500,,control de funcionamiento ok - limpieza del equipo - incorporación de perilla,"Piezas reemplazadas: 
"
28141,2025-07-07 00:00:00-03,2025-07-10 00:00:00-03,ALCLA,Magnamed,"",,MG 7359,3676,,,"Piezas reemplazadas: 
"
28142,2025-07-07 00:00:00-03,2025-07-11 00:00:00-03,ALCLA,Magnamed,"",,MG 7360,3670,,,"Piezas reemplazadas: 
"
28150,2025-07-07 00:00:00-03,,ALCLA,Meditech,G3G,MONITOR MULTIPARAMÉTRICO,MG 0018,G 00800174,,,
28146,2025-07-08 00:00:00-03,,MGBIO,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,MG 2379,5158513,5L,,
28147,2025-07-11 00:00:00-03,2025-09-30 14:32:25-03,AVIL SALUD SRL,Inogen,ONE,CONCENTRADOR DE OXÍGENO PORTÁTIL,,22423620,G2,"Concentración de oxígeno casi nula. Canister de ceolitas pinchado1.
Re quiere cambio de canister de ceolitas.","Piezas reemplazadas: 
"
28149,2025-07-11 00:00:00-03,,MGBIO,Magnamed,FLEXIMAG MAX 300,,MG 7358,3322,,CAMBIO CELDA DE OXÍGENO INTERNA (PENDIENTE),"Piezas reemplazadas: 
"
28166,2025-07-11 00:00:00-03,2025-07-18 00:00:00-03,SICOMED,Meditech,"",,,,,"VERIFICACION DE ESTADO OPERATIVO DE CENTRAL DE MONITOREO; ANALISIS DE RENDIMIENTO, PROCEDIMIENTO DE VACIADO DE MEMORIA Y LIBERACION DE ESPACIO EN DISCO; CONTROL DE MONITOR POR CAMA N° Y HABITACION","Piezas reemplazadas: 
"
28158,2025-07-15 00:00:00-03,2025-08-07 00:00:00-03,ALCLA,LEEX,1M8,MONITOR MULTIPARAMETRICO,,M20406700018,,"Reparación conector de entrada para sensor spo2.
Reposición sensor spo2, CUFF adulto nuevo (facturan los accesorios ventas)","Piezas reemplazadas: sensor spo2, CUFF adulto""
28163,Control de funcionamiento ok(tecnico: lucas humerez) - sensor de SpO2 roto - cable ECG en malas condiciones(cable pelado),
28159,""Reparación conector de entrada para sensor spo2.
Reposición sensor spo2, CUFF adulto nuevo (facturan los accesorios ventas)"
28159,2025-07-15 00:00:00-03,2025-08-07 00:00:00-03,ALCLA,LEEX,1M8,MONITOR MULTIPARAMETRICO,,M20406700015,,,
28160,2025-07-15 00:00:00-03,,MGBIO,EDAN,M3,MONITOR MULTIPARAMETRICO,MG 3366,M15B11090014,,,
28154,2025-07-16 00:00:00-03,,MGBIO,Konsung,KSOC-5,CONCENTRADOR DE OXÍGENO,MG 7090,MC22040040027,,,
28156,2025-07-16 00:00:00-03,2025-07-25 00:00:00-03,WIOR INSUMOS,Yamind,DM28,CPAP,,YB1032412003,20C,REDISPOSICION DE DATOS EDF EN LA TARJETA SD PARA LA CORRECTA LECTURA DE DATOS del software somnus,"Piezas reemplazadas: 
"
28161,2025-07-16 00:00:00-03,2025-07-25 00:00:00-03,GRUPO INBA,BMC,PolyWatch YH-600B,POLÍGRAFO,,S222D804020,PRO,carcaza de kit de respiracion rota - cambio de carcaza y conector plastico de canula nasal - control de fuincionamiento ok,"Piezas reemplazadas: 
"
28163,2025-07-16 00:00:00-03,2025-09-09 00:00:00-03,MGBIO,Meditech,G3G,MONITOR MULTIPARAMÉTRICO,MG 3216,G3GM90004,,,
28164,2025-07-16 00:00:00-03,,MGBIO,Meditech,G3G,MONITOR MULTIPARAMÉTRICO,MG 3011,G3GL70092,,control de funcionamiento ok - cambio de bateria,"Piezas reemplazadas: 
"
28255,2025-07-16 00:00:00-03,,ALCLA,Meditech,G3G,MONITOR MULTIPARAMÉTRICO,MG 0018,G 00800174,,se cargo mal es un subalquiler,""
28168,2025-07-17 00:00:00-03,2025-09-12 00:00:00-03,MGBIO,Drive DeVilbiss Healthcare,VacuAide,ASPIRADOR A BATERÍAS,MG 1231,PI-115382,DC 12V,,
28169,2025-07-17 00:00:00-03,,LANCET CORP,Konsung,"",,MG 7306,MA23080040049,,"MODIFICACION ELECTRONICA, COLOCACION PRESET CARGA DE BATERIA","Piezas reemplazadas: 
"
28170,2025-07-17 00:00:00-03,2025-07-21 00:00:00-03,LANCET CORP,BMC,CPAP G1,CPAP,MG 4948,BTX18417161,RESMART,falla en turbina y olaca por ingreso de liquido en su interior - turbina ruidosa y placa no responde bien a la terapia ( tecnico :lucas humerez),"Piezas reemplazadas: se da de baja
"
28171,2025-07-17 00:00:00-03,,LANCET CORP,"","",,,,,,
28172,2025-07-17 00:00:00-03,2025-07-22 00:00:00-03,MGBIO,ResMed,TANGO,CPAP,MG 2417,20130310837,,control ok - se da de baja por equipo obsoleto(tecnico : Lucas Humerez),"Piezas reemplazadas: 
"
28173,2025-07-17 00:00:00-03,,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4777,MG 4777,,,
28174,2025-07-17 00:00:00-03,,LANCET CORP,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,,MZJ5S122764,,,
28175,2025-07-17 00:00:00-03,,MGBIO,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,MG 0640,5132368,5L,control de funcionamiento ok - concentrcion en 4.5L: 92~3,"Piezas reemplazadas: 
"
28176,2025-07-17 00:00:00-03,,respirar,Konsung,9E,ASPIRADOR A BATERÍAS,MG 7362,MA23060040035,,NO CARGA BATERIA BAJO VACIO,"Piezas reemplazadas: DESARME LIMPIEZA Y LUBRICACION BOMBA, CAMBIO  DE BATERIA 12V. 2.6 AMPH LOTE 9469""
28168,""POCO VACIO, DESARME, LIMPIEZA Y LUBRICACION DE BOMBA CONTROL CARGA DE BATERIA OK"
28179,2025-07-17 00:00:00-03,2025-07-31 00:00:00-03,OXICASTHOMECARE,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,838295,5L,cambio de filtros - control de funcionamiento ok,"Piezas reemplazadas: 
"
28180,2025-07-17 00:00:00-03,2025-07-31 00:00:00-03,OXICASTHOMECARE,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,BUB0115300326,5L,"reemplazo de ciolita, filtro interno externo, limpieza.","Piezas reemplazadas: 
"
28181,2025-07-17 00:00:00-03,2025-07-31 00:00:00-03,OXICASTHOMECARE,Konsung,KSOC-5,CONCENTRADOR DE OXÍGENO,,MC22040040009,,"control de funcionamiento ok. 
E02: baja presión de aire.
Posible causa de la falla: baja tensión en la vivienda afecta al compresor.
Se cobra diagnóstico y limpieza","Piezas reemplazadas: 
"
28182,2025-07-17 00:00:00-03,2025-07-25 00:00:00-03,RESPILIFE,BMC,CPAP G1,CPAP,,E2317B17064,RESMART,control de terapia ok - control de rangos de temperatura de humidificador ok - calibracion del equipo - limpieza interior y exterior(incluye pulido de pantalla) - falla en placa de reinicio de fecha y hora por pila interna obsoleta,"Piezas reemplazadas: pila interna 3V
"
28185,2025-07-18 00:00:00-03,2025-07-23 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4745,MZJ5S121807,,"CAMBIO DE FILTRO INTERNO - CONTROL DE FUNCIONAMIENTO OK

(TECNICO: JUAN)","Piezas reemplazadas: 
"
28186,2025-07-18 00:00:00-03,2025-08-11 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 6788,MZJ5S416966,,ajuste de pico de salida - control de funcionamiento ok,"Piezas reemplazadas: 
"
28187,2025-07-18 00:00:00-03,2025-07-25 00:00:00-03,DIAGNOSTIC MEDIC,ResMed,Sin Información,CPAP,MG 2412,20130310805,,no arranca terapia - no se repara - equipo obsoleto se da de baja(tecnico: lucas humerez),"Piezas reemplazadas: 
"
28188,2025-07-18 00:00:00-03,2025-08-07 00:00:00-03,DIAGNOSTIC MEDIC,Yamind,DM26,CPAP,,Y662124390011,20C,"falla en placa - no arranca terapia - se reinicia constantemente - turbina ok. No hay signos de ingreso de líquido.
SE CAMBIA EL EQUIPO COMPLETO POR GARANTÍA ( SE DA EL Y662125150084)","Piezas reemplazadas: se cambia el equipo por el Y662125150084
"
28189,2025-07-18 00:00:00-03,2025-08-07 00:00:00-03,DIAGNOSTIC MEDIC,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,,MZJ5S636644,,CAMBIO DE FILTROS - CONTROL DE FUNCIONAMIENTO OK - CONCENTRACION 5L: 91,"Piezas reemplazadas: 
"
28193,2025-07-22 00:00:00-03,2025-09-17 00:00:00-03,MGBIO,Nellcor,N-395,OXÍMETRO DE PULSO,MG 3239,G01840486,,cambio de bateria - control de funcionamiento ok(tecnico: lucas humerez),"Piezas reemplazadas: 
"
28194,2025-07-22 00:00:00-03,,oxigenoterapia lomas s.a,BMC,CPAP G1,CPAP,MG 3986,CTX1863J073,RESMART,control de funcionamiento ok,"Piezas reemplazadas: 
"
28196,2025-07-22 00:00:00-03,2025-08-11 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4439,MZJ5S121854,,"CAMBIO DE COOLER - CAMBIO DE FILTROS - LIMPIEZA INTERNA EXTERNA - CONTROL DE FUNCIONAMIENTO OK - CONCENTRACION 5L: 94,2
(TECNICO: JUAN)","Piezas reemplazadas: 
"
28198,2025-07-23 00:00:00-03,2025-08-12 00:00:00-03,OXICASTHOMECARE,Philips Respironics,BiPAP Harmony,BPAP,,4815837,,control de funcionamiento ok - limpieza general - incorporacion de filtro y reparacion de tapa de filtro,"Piezas reemplazadas: 
"
28199,2025-07-23 00:00:00-03,2025-07-29 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4574,MZJ5S121947,,"CAMBIO DE FILTROS - CONCENTRA 89.9/90 EN 4L

DESGUACE","Piezas reemplazadas: 
"
28200,2025-07-23 00:00:00-03,,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,N5136761,5L,cambio de ceolita - cambio de electrovalvula - limpieza interna externa - cambio de filtros - control de funcionamiento ok,"Piezas reemplazadas: 
"
28202,2025-07-24 00:00:00-03,2025-08-18 00:00:00-03,MARK,Konsung,9E,ASPIRADOR A BATERÍAS,,MA23060040013,,,
